pid	rank	img_idx	img_label	score	path
0009	1	14713	1352	0.347079	
0009	2	11104	0932	0.342347	
0009	3	9696	0753	0.340889	
0009	4	6748	0418	0.338229	
0009	5	7015	0461	0.329343	
0009	6	13700	1241	0.328233	
0009	7	13430	1212	0.327751	
0009	8	14290	1302	0.327320	
0009	9	4993	0226	0.326352	
0009	10	13064	1174	0.325540	
0040	1	5655	0275	0.331009	
0040	2	1462	0000	0.328503	
0040	3	5153	0230	0.321009	
0040	4	4280	0156	0.320656	
0040	5	1847	0000	0.319906	
0040	6	3471	0074	0.318376	
0040	7	5150	0230	0.318172	
0040	8	11697	1026	0.315773	
0040	9	2055	0000	0.315657	
0040	10	4281	0156	0.315357	
0044	1	1794	0000	0.330828	
0044	2	10761	0889	0.328382	
0044	3	12766	1148	0.326788	
0044	4	5191	0233	0.326334	
0044	5	12767	1148	0.324914	
0044	6	8013	0583	0.323900	
0044	7	14331	1308	0.320516	
0044	8	9152	0717	0.320450	
0044	9	13347	1203	0.320372	
0044	10	4912	0219	0.319766	
0050	1	4694	0198	0.324435	
0050	2	8013	0583	0.322456	
0050	3	11056	0927	0.321826	
0050	4	8706	0678	0.321161	
0050	5	7785	0560	0.320353	
0050	6	8448	0632	0.318873	
0050	7	6909	0448	0.318847	
0050	8	15875	1498	0.317825	
0050	9	15857	1498	0.317735	
0050	10	2613	0000	0.316826	
0054	1	4281	0156	0.335543	
0054	2	3693	0094	0.327665	
0054	3	3692	0094	0.327507	
0054	4	4280	0156	0.327463	
0054	5	13835	1259	0.322213	
0054	6	13372	1207	0.317980	
0054	7	6909	0448	0.315936	
0054	8	893	0000	0.313973	
0054	9	7141	0474	0.313862	
0054	10	9347	0727	0.313420	
0075	1	8700	0678	0.371564	
0075	2	8699	0678	0.361877	
0075	3	8706	0678	0.355943	
0075	4	14862	1362	0.354617	
0075	5	4694	0198	0.353007	
0075	6	8713	0678	0.352929	
0075	7	2750	0000	0.347462	
0075	8	4678	0198	0.347083	
0075	9	8712	0678	0.347020	
0075	10	15132	1394	0.346459	
0183	1	2993	0016	0.342146	
0183	2	8259	0610	0.335417	
0183	3	7884	0574	0.329775	
0183	4	13617	1228	0.326596	
0183	5	14357	1311	0.326002	
0183	6	14395	1314	0.325842	
0183	7	11967	1061	0.325134	
0183	8	13658	1233	0.324493	
0183	9	11408	0983	0.322685	
0183	10	5626	0271	0.319143	
0191	1	10117	0797	0.343830	
0191	2	8734	0680	0.338230	
0191	3	11119	0934	0.333448	
0191	4	7594	0527	0.330315	
0191	5	4600	0191	0.328087	
0191	6	7100	0469	0.327221	
0191	7	2203	0000	0.326126	
0191	8	9763	0763	0.325601	
0191	9	7296	0493	0.324760	
0191	10	1367	0000	0.323639	
0192	1	8700	0678	0.380728	
0192	2	14862	1362	0.368973	
0192	3	8699	0678	0.365453	
0192	4	8713	0678	0.361701	
0192	5	5797	0286	0.361405	
0192	6	8706	0678	0.358569	
0192	7	15857	1498	0.358387	
0192	8	4694	0198	0.357562	
0192	9	4678	0198	0.357201	
0192	10	10858	0909	0.355132	
0200	1	3692	0094	0.349842	
0200	2	1960	0000	0.336724	
0200	3	4281	0156	0.336427	
0200	4	4705	0200	0.334906	
0200	5	1847	0000	0.334383	
0200	6	1575	0000	0.334254	
0200	7	7808	0561	0.333233	
0200	8	7745	0550	0.330074	
0200	9	5320	0253	0.329800	
0200	10	5282	0247	0.328555	
0213	1	15656	1472	0.347249	
0213	2	12423	1105	0.344851	
0213	3	13163	1184	0.344250	
0213	4	6089	0319	0.343144	
0213	5	7155	0476	0.341501	
0213	6	12857	1151	0.340711	
0213	7	3556	0080	0.339698	
0213	8	13186	1185	0.339483	
0213	9	6808	0428	0.339008	
0213	10	11094	0932	0.338433	
0230	1	1847	0000	0.350808	
0230	2	4281	0156	0.340761	
0230	3	5655	0275	0.338526	
0230	4	4280	0156	0.328815	
0230	5	1462	0000	0.327731	
0230	6	5153	0230	0.325229	
0230	7	5150	0230	0.324481	
0230	8	1960	0000	0.324146	
0230	9	2055	0000	0.323589	
0230	10	5148	0230	0.323381	
0258	1	13625	1229	0.360481	
0258	2	12233	1083	0.353509	
0258	3	13624	1229	0.353132	
0258	4	13642	1229	0.350772	
0258	5	5788	0286	0.350490	
0258	6	12234	1083	0.349603	
0258	7	11002	0923	0.346316	
0258	8	3925	0128	0.345118	
0258	9	13368	1205	0.344246	
0258	10	13347	1203	0.343809	
0286	1	10453	0829	0.376974	
0286	2	8700	0678	0.375927	
0286	3	5797	0286	0.374972	
0286	4	4516	0186	0.370768	
0286	5	13791	1251	0.362103	
0286	6	8699	0678	0.356189	
0286	7	13284	1195	0.355202	
0286	8	4507	0186	0.355085	
0286	9	10954	0918	0.355011	
0286	10	14862	1362	0.354997	
0316	1	2993	0016	0.326798	
0316	2	9511	0736	0.317633	
0316	3	14279	1302	0.317567	
0316	4	13430	1212	0.315881	
0316	5	13144	1182	0.315347	
0316	6	6920	0452	0.314816	
0316	7	5408	0260	0.313198	
0316	8	11698	1026	0.313160	
0316	9	2203	0000	0.312432	
0316	10	8949	0693	0.310502	
0329	1	13625	1229	0.355764	
0329	2	3925	0128	0.355404	
0329	3	13624	1229	0.353781	
0329	4	13642	1229	0.353323	
0329	5	13347	1203	0.353092	
0329	6	12233	1083	0.352470	
0329	7	13639	1229	0.352347	
0329	8	8733	0680	0.351643	
0329	9	3929	0128	0.350301	
0329	10	6368	0355	0.347501	
0431	1	13639	1229	0.355315	
0431	2	13625	1229	0.350314	
0431	3	12233	1083	0.346960	
0431	4	13624	1229	0.344867	
0431	5	13347	1203	0.339486	
0431	6	10800	0899	0.337110	
0431	7	11493	0996	0.335537	
0431	8	5788	0286	0.334871	
