pid	rank	img_idx	img_label	score	path
0009	1	14713	1352	0.352374	
0009	2	11104	0932	0.346857	
0009	3	9696	0753	0.344943	
0009	4	6748	0418	0.339918	
0009	5	7015	0461	0.333926	
0009	6	14290	1302	0.333403	
0009	7	13700	1241	0.331499	
0009	8	4993	0226	0.330680	
0009	9	13430	1212	0.330578	
0009	10	7223	0488	0.330231	
0040	1	5655	0275	0.334454	
0040	2	1462	0000	0.333107	
0040	3	4280	0156	0.330673	
0040	4	5153	0230	0.325278	
0040	5	1847	0000	0.324842	
0040	6	3471	0074	0.322645	
0040	7	5150	0230	0.322148	
0040	8	4281	0156	0.321447	
0040	9	2055	0000	0.321249	
0040	10	11697	1026	0.321066	
0044	1	1794	0000	0.332758	
0044	2	10761	0889	0.330795	
0044	3	5191	0233	0.330183	
0044	4	12766	1148	0.329171	
0044	5	12767	1148	0.327566	
0044	6	8013	0583	0.325927	
0044	7	15865	1498	0.324370	
0044	8	8706	0678	0.322957	
0044	9	13347	1203	0.322923	
0044	10	9152	0717	0.322793	
0050	1	4694	0198	0.337137	
0050	2	8706	0678	0.334658	
0050	3	15857	1498	0.332279	
0050	4	15875	1498	0.331408	
0050	5	8013	0583	0.331280	
0050	6	5511	0265	0.329759	
0050	7	15865	1498	0.327288	
0050	8	14374	1312	0.327193	
0050	9	5191	0233	0.326706	
0050	10	6909	0448	0.325339	
0054	1	4281	0156	0.341889	
0054	2	4280	0156	0.336275	
0054	3	3693	0094	0.332363	
0054	4	3692	0094	0.331277	
0054	5	13835	1259	0.326142	
0054	6	13372	1207	0.323174	
0054	7	6909	0448	0.320095	
0054	8	7745	0550	0.319113	
0054	9	8663	0671	0.318102	
0054	10	7777	0560	0.317874	
0075	1	8700	0678	0.377821	
0075	2	8699	0678	0.366173	
0075	3	14862	1362	0.360157	
0075	4	8706	0678	0.358582	
0075	5	8713	0678	0.356873	
0075	6	4694	0198	0.356184	
0075	7	2750	0000	0.353367	
0075	8	8712	0678	0.352332	
0075	9	4678	0198	0.352155	
0075	10	15857	1498	0.350438	
0183	1	2993	0016	0.347092	
0183	2	8259	0610	0.338387	
0183	3	7884	0574	0.336470	
0183	4	14395	1314	0.333377	
0183	5	14357	1311	0.331513	
0183	6	13617	1228	0.330830	
0183	7	11967	1061	0.330388	
0183	8	13658	1233	0.327602	
0183	9	11408	0983	0.327549	
0183	10	14359	1311	0.324785	
0191	1	10117	0797	0.349084	
0191	2	8734	0680	0.343294	
0191	3	11119	0934	0.342315	
0191	4	7594	0527	0.335675	
0191	5	7100	0469	0.334349	
0191	6	2203	0000	0.330923	
0191	7	4600	0191	0.330436	
0191	8	7012	0461	0.329709	
0191	9	9763	0763	0.329232	
0191	10	10108	0797	0.328753	
0192	1	8700	0678	0.382672	
0192	2	14862	1362	0.372080	
0192	3	8699	0678	0.369218	
0192	4	5797	0286	0.368359	
0192	5	8713	0678	0.365208	
0192	6	15857	1498	0.361542	
0192	7	4694	0198	0.360405	
0192	8	10858	0909	0.360022	
0192	9	4678	0198	0.359598	
0192	10	8706	0678	0.359581	
0200	1	3692	0094	0.352825	
0200	2	7808	0561	0.344412	
0200	3	1960	0000	0.342003	
0200	4	4281	0156	0.341974	
0200	5	4705	0200	0.341234	
0200	6	1847	0000	0.339063	
0200	7	7745	0550	0.337880	
0200	8	1575	0000	0.337112	
0200	9	5320	0253	0.336599	
0200	10	5282	0247	0.332993	
0213	1	13163	1184	0.351923	
0213	2	15656	1472	0.351580	
0213	3	3556	0080	0.348289	
0213	4	12423	1105	0.348051	
0213	5	6089	0319	0.346777	
0213	6	7155	0476	0.346447	
0213	7	12857	1151	0.345995	
0213	8	11094	0932	0.345671	
0213	9	13186	1185	0.345163	
0213	10	12414	1105	0.344492	
0230	1	1847	0000	0.353651	
0230	2	4281	0156	0.344656	
0230	3	5655	0275	0.340411	
0230	4	4280	0156	0.331808	
0230	5	1462	0000	0.330945	
0230	6	1960	0000	0.330199	
0230	7	5153	0230	0.327571	
0230	8	2055	0000	0.327310	
0230	9	5150	0230	0.327243	
0230	10	5487	0263	0.326716	
0258	1	13625	1229	0.364351	
0258	2	13624	1229	0.357012	
0258	3	5788	0286	0.355578	
0258	4	12233	1083	0.355480	
0258	5	13642	1229	0.355099	
0258	6	12234	1083	0.351963	
0258	7	3925	0128	0.350754	
0258	8	11002	0923	0.349330	
0258	9	13347	1203	0.348684	
0258	10	11183	0949	0.347956	
0286	1	8700	0678	0.385149	
0286	2	10453	0829	0.382513	
0286	3	5797	0286	0.381232	
0286	4	4516	0186	0.374088	
0286	5	13791	1251	0.368191	
0286	6	8699	0678	0.365222	
0286	7	14862	1362	0.364457	
0286	8	10858	0909	0.364065	
0286	9	10954	0918	0.362004	
0286	10	13284	1195	0.361232	
0316	1	2993	0016	0.331963	
0316	2	14279	1302	0.325229	
0316	3	9511	0736	0.323438	
0316	4	6920	0452	0.320734	
0316	5	11698	1026	0.319966	
0316	6	13430	1212	0.318885	
0316	7	9532	0736	0.317803	
0316	8	13144	1182	0.317712	
0316	9	5408	0260	0.317650	
0316	10	5153	0230	0.317358	
0329	1	3925	0128	0.360678	
0329	2	13625	1229	0.358390	
0329	3	13642	1229	0.358135	
0329	4	13624	1229	0.356677	
0329	5	13347	1203	0.356624	
0329	6	13639	1229	0.355581	
0329	7	12233	1083	0.355434	
0329	8	8733	0680	0.354664	
0329	9	6368	0355	0.352485	
0329	10	3929	0128	0.352289	
0431	1	13639	1229	0.358671	
0431	2	13625	1229	0.351181	
0431	3	12233	1083	0.351145	
0431	4	13624	1229	0.346828	
0431	5	13347	1203	0.342223	
0431	6	10800	0899	0.340943	
0431	7	11493	0996	0.339027	
0431	8	5788	0286	0.337493	
0431	9	6818	0431	0.335481	
0431	10	13635	1229	0.335404	
0465	1	11727	1028	0.359313	
0465	2	3326	0058	0.350470	
0465	3	7968	0580	0.349014	
0465	4	3260	0049	0.348349	
0465	5	5745	0284	0.348329	
0465	6	3411	0066	0.345852	
0465	7	13385	1208	0.345595	
0465	8	5751	0284	0.344640	
0465	9	4318	0161	0.344013	
0465	10	5757	0284	0.343676	
0471	1	4280	0156	0.331467	
0471	2	13835	1259	0.328470	
0471	3	6909	0448	0.326041	
0471	4	3693	0094	0.324572	
0471	5	4281	0156	0.324070	
0471	6	13372	1207	0.322686	
0471	7	3692	0094	0.321727	
0471	8	7141	0474	0.318403	
0471	9	7560	0523	0.317949	
0471	10	7566	0523	0.317684	
0474	1	4280	0156	0.355499	
0474	2	3692	0094	0.348820	
0474	3	8663	0671	0.344775	
0474	4	6909	0448	0.342946	
0474	5	11330	0968	0.342573	
0474	6	10604	0861	0.341053	
0474	7	7223	0488	0.340986	
0474	8	8013	0583	0.339585	
0474	9	4282	0156	0.337879	
0474	10	10757	0888	0.337081	
0479	1	7785	0560	0.351769	
0479	2	11330	0968	0.346591	
0479	3	13544	1224	0.341364	
0479	4	7222	0488	0.339137	
0479	5	7160	0478	0.338726	
0479	6	3692	0094	0.337637	
0479	7	7181	0479	0.337483	
