pid	best_img_pid	best_sim	rank_of_gt	topk_paths
0009	0183	0.3238	241	74|195|509|797|190|792|796|789|666|593
0040	0230	0.3330	101	195|192|509|190|198|200|187|32|796|800
0044	0286	0.3491	12	220|476|486|229|629|844|608|372|609|329
0050	1498	0.3607	37	836|854|144|844|834|147|148|853|848|476
0054	0747	0.3265	4	492|153|298|33|190|192|174|160|187|316
0075	1498	0.3542	10	836|854|229|853|834|144|148|859|609|55
0183	1233	0.3378	2	679|94|96|638|447|629|677|800|814|122
0191	0819	0.3385	2	527|128|666|724|395|728|130|124|679|669
0192	0286	0.3808	9	229|859|836|55|834|853|854|222|144|609
0200	0200	0.3520	1	153|154|160|152|161|156|168|167|166|165
0213	1395	0.3433	2	777|174|298|172|175|679|229|408|812|122
0230	0230	0.3333	1	195|192|190|197|200|187|196|198|509|185
0258	0286	0.3602	29	220|486|766|219|251|329|254|67|256|578
0286	0286	0.3953	1	229|207|227|228|223|836|222|55|144|859
0316	0230	0.3276	13	195|509|198|796|94|672|610|190|200|778
0329	0329	0.3575	1	251|254|220|256|486|252|578|267|241|219
0431	0286	0.3446	3	220|578|267|486|251|372|20|329|219|476
0465	0521	0.3444	48	374|338|655|796|789|376|379|366|339|359
0471	0474	0.3262	6	298|190|195|192|316|290|315|295|180|29
0474	0200	0.3417	2	153|298|491|167|300|315|295|558|49|180
0479	0479	0.3444	1	316|300|315|366|375|190|295|376|153|298
0498	0286	0.3824	6	220|229|218|207|227|329|228|219|49|319
0521	0521	0.3472	1	339|357|342|337|338|366|356|375|359|334
0562	1187	0.3289	10	666|195|778|527|251|796|190|316|832|395
0585	1438	0.3528	8	789|821|796|790|357|338|778|411|337|402
0591	0286	0.3665	4	227|228|836|430|148|209|223|429|49|207
0732	0183	0.3418	6	94|679|677|235|238|447|638|96|681|672
0740	0740	0.3789	1	486|229|479|480|859|220|476|205|242|55
0747	0474	0.3434	9	298|859|174|190|30|295|679|672|491|238
0778	0778	0.3721	1	512|495|509|511|743|517|504|515|514|493
0819	1148	0.3217	3	638|130|527|437|679|666|814|88|546|629
0910	0200	0.3516	3	153|376|531|160|316|49|251|379|375|152
0913	0913	0.3602	1	546|536|544|696|543|549|691|548|547|540
0966	0183	0.3157	3	94|629|552|562|560|609|610|608|557|197
0996	0286	0.3633	4	220|486|219|588|271|578|329|480|205|254
1084	1084	0.3779	1	597|766|607|603|593|602|599|605|601|594
1148	1148	0.3509	1	625|623|630|632|609|633|611|610|631|229
1161	0778	0.3716	12	512|495|743|511|514|515|517|494|502|509
1187	1187	0.3136	1	666|789|546|527|229|494|374|668|303|316
1233	0183	0.3419	2	94|679|677|96|447|235|238|638|681|629
1236	1236	0.3746	1	700|546|699|695|696|691|698|685|701|544
1262	1498	0.3653	41	836|859|55|144|853|834|229|486|609|148
1265	1498	0.3542	13	836|854|229|853|834|859|144|486|609|55
1324	0778	0.3622	4	512|511|509|743|495|515|517|514|376|510
1351	1351	0.3934	1	766|760|229|220|634|227|761|762|67|215
1395	1395	0.3388	1	777|509|229|778|230|195|796|94|666|800
1438	1438	0.3535	1	796|789|792|359|638|338|339|360|337|795
1444	1233	0.3600	4	679|94|681|812|803|96|121|238|235|677
1477	1477	0.3491	1	832|766|174|395|777|830|800|408|685|812
1498	0286	0.3808	2	229|859|836|55|834|222|144|207|486|148
