pid	rank	img_idx	img_label	score	path
0009	1	14713	1352	0.347079	data\market1501/bounding_box_test\1352_c2s3_034882_01.jpg
0009	2	11104	0932	0.342347	data\market1501/bounding_box_test\0932_c6s2_110743_01.jpg
0009	3	9696	0753	0.340889	data\market1501/bounding_box_test\0753_c6s2_064143_01.jpg
0009	4	6748	0418	0.338229	data\market1501/bounding_box_test\0418_c5s1_105598_01.jpg
0009	5	7015	0461	0.329343	data\market1501/bounding_box_test\0461_c4s2_044023_01.jpg
0009	6	13700	1241	0.328233	data\market1501/bounding_box_test\1241_c1s5_055841_01.jpg
0009	7	13430	1212	0.327751	data\market1501/bounding_box_test\1212_c1s5_050916_01.jpg
0009	8	14290	1302	0.327320	data\market1501/bounding_box_test\1302_c6s4_019952_03.jpg
0009	9	4993	0226	0.326352	data\market1501/bounding_box_test\0226_c5s1_054701_01.jpg
0009	10	13064	1174	0.325540	data\market1501/bounding_box_test\1174_c5s3_006068_01.jpg
0040	1	5655	0275	0.331009	data\market1501/bounding_box_test\0275_c1s1_060281_02.jpg
0040	2	1462	0000	0.328503	data\market1501/bounding_box_test\0000_c3s3_044378_02.jpg
0040	3	5153	0230	0.321009	data\market1501/bounding_box_test\0230_c6s1_047626_01.jpg
0040	4	4280	0156	0.320656	data\market1501/bounding_box_test\0156_c5s1_051626_01.jpg
0040	5	1847	0000	0.319906	data\market1501/bounding_box_test\0000_c4s5_026529_05.jpg
0040	6	3471	0074	0.318376	data\market1501/bounding_box_test\0074_c1s1_009676_01.jpg
0040	7	5150	0230	0.318172	data\market1501/bounding_box_test\0230_c5s1_047551_01.jpg
0040	8	11697	1026	0.315773	data\market1501/bounding_box_test\1026_c1s6_038846_01.jpg
0040	9	2055	0000	0.315657	data\market1501/bounding_box_test\0000_c5s1_098873_03.jpg
0040	10	4281	0156	0.315357	data\market1501/bounding_box_test\0156_c5s1_051776_03.jpg
0044	1	2750	0000	0.359004	data\market1501/bounding_box_test\0000_c6s3_033517_02.jpg
0044	2	4380	0171	0.349878	data\market1501/bounding_box_test\0171_c4s1_035626_01.jpg
0044	3	13618	1229	0.342097	data\market1501/bounding_box_test\1229_c1s5_041191_02.jpg
0044	4	5788	0286	0.341316	data\market1501/bounding_box_test\0286_c5s1_067623_01.jpg
0044	5	13639	1229	0.340205	data\market1501/bounding_box_test\1229_c5s3_015615_04.jpg
0044	6	10800	0899	0.337110	data\market1501/bounding_box_test\0899_c1s4_049681_05.jpg
0044	7	9950	0783	0.333049	data\market1501/bounding_box_test\0783_c1s4_039381_02.jpg
0044	8	9572	0740	0.330970	data\market1501/bounding_box_test\0740_c5s2_067302_01.jpg
0044	9	13641	1229	0.330915	data\market1501/bounding_box_test\1229_c5s3_023815_05.jpg
0044	10	1794	0000	0.330828	data\market1501/bounding_box_test\0000_c4s4_065766_03.jpg
0050	1	4694	0198	0.324435	data\market1501/bounding_box_test\0198_c6s1_039951_03.jpg
0050	2	8013	0583	0.322456	data\market1501/bounding_box_test\0583_c5s2_013105_03.jpg
0050	3	11056	0927	0.321826	data\market1501/bounding_box_test\0927_c4s4_054816_03.jpg
0050	4	8706	0678	0.321161	data\market1501/bounding_box_test\0678_c4s3_063404_02.jpg
0050	5	7785	0560	0.320353	data\market1501/bounding_box_test\0560_c5s2_002383_01.jpg
0050	6	8448	0632	0.318873	data\market1501/bounding_box_test\0632_c1s3_042126_01.jpg
0050	7	6909	0448	0.318847	data\market1501/bounding_box_test\0448_c3s1_122458_01.jpg
0050	8	15875	1498	0.317825	data\market1501/bounding_box_test\1498_c6s3_086242_04.jpg
0050	9	15857	1498	0.317735	data\market1501/bounding_box_test\1498_c1s6_016371_01.jpg
0050	10	2613	0000	0.316826	data\market1501/bounding_box_test\0000_c6s2_095343_05.jpg
0054	1	4281	0156	0.335543	data\market1501/bounding_box_test\0156_c5s1_051776_03.jpg
0054	2	3693	0094	0.327665	data\market1501/bounding_box_test\0094_c1s1_021451_01.jpg
0054	3	3692	0094	0.327507	data\market1501/bounding_box_test\0094_c1s1_021376_01.jpg
0054	4	4280	0156	0.327463	data\market1501/bounding_box_test\0156_c5s1_051626_01.jpg
0054	5	13835	1259	0.322213	data\market1501/bounding_box_test\1259_c1s5_047441_01.jpg
0054	6	13372	1207	0.317980	data\market1501/bounding_box_test\1207_c1s5_038941_04.jpg
0054	7	6909	0448	0.315936	data\market1501/bounding_box_test\0448_c3s1_122458_01.jpg
0054	8	893	0000	0.313973	data\market1501/bounding_box_test\0000_c2s2_063607_06.jpg
0054	9	7141	0474	0.313862	data\market1501/bounding_box_test\0474_c1s2_049996_02.jpg
0054	10	9347	0727	0.313420	data\market1501/bounding_box_test\0727_c1s4_001231_01.jpg
0075	1	8700	0678	0.371564	data\market1501/bounding_box_test\0678_c1s3_063526_02.jpg
0075	2	8699	0678	0.361877	data\market1501/bounding_box_test\0678_c1s3_063451_02.jpg
0075	3	8706	0678	0.355943	data\market1501/bounding_box_test\0678_c4s3_063404_02.jpg
0075	4	14862	1362	0.354617	data\market1501/bounding_box_test\1362_c5s3_053365_01.jpg
0075	5	4694	0198	0.353007	data\market1501/bounding_box_test\0198_c6s1_039951_03.jpg
0075	6	8713	0678	0.352929	data\market1501/bounding_box_test\0678_c6s2_042943_02.jpg
0075	7	2750	0000	0.347462	data\market1501/bounding_box_test\0000_c6s3_033517_02.jpg
0075	8	4678	0198	0.347083	data\market1501/bounding_box_test\0198_c2s1_075021_01.jpg
0075	9	8712	0678	0.347020	data\market1501/bounding_box_test\0678_c6s2_042918_01.jpg
0075	10	15132	1394	0.346459	data\market1501/bounding_box_test\1394_c6s3_077917_01.jpg
0183	1	2993	0016	0.342146	data\market1501/bounding_box_test\0016_c1s1_001351_03.jpg
0183	2	8259	0610	0.335417	data\market1501/bounding_box_test\0610_c6s2_011968_01.jpg
0183	3	7884	0574	0.329775	data\market1501/bounding_box_test\0574_c5s2_081702_04.jpg
0183	4	13617	1228	0.326596	data\market1501/bounding_box_test\1228_c6s3_046717_01.jpg
0183	5	14357	1311	0.326002	data\market1501/bounding_box_test\1311_c1s5_059916_02.jpg
0183	6	14395	1314	0.325842	data\market1501/bounding_box_test\1314_c6s3_057992_01.jpg
0183	7	11967	1061	0.325134	data\market1501/bounding_box_test\1061_c4s5_004729_01.jpg
0183	8	13658	1233	0.324493	data\market1501/bounding_box_test\1233_c6s3_039892_02.jpg
0183	9	11408	0983	0.322685	data\market1501/bounding_box_test\0983_c1s4_064786_03.jpg
0183	10	5626	0271	0.319143	data\market1501/bounding_box_test\0271_c6s1_059226_04.jpg
0191	1	10117	0797	0.343830	data\market1501/bounding_box_test\0797_c6s2_103518_05.jpg
0191	2	8734	0680	0.338230	data\market1501/bounding_box_test\0680_c2s2_046112_01.jpg
0191	3	11119	0934	0.333448	data\market1501/bounding_box_test\0934_c6s2_115693_05.jpg
0191	4	7594	0527	0.330315	data\market1501/bounding_box_test\0527_c3s1_148708_07.jpg
0191	5	4600	0191	0.328087	data\market1501/bounding_box_test\0191_c3s3_078444_03.jpg
0191	6	7100	0469	0.327221	data\market1501/bounding_box_test\0469_c5s1_141920_01.jpg
0191	7	2203	0000	0.326126	data\market1501/bounding_box_test\0000_c5s2_093077_01.jpg
0191	8	9763	0763	0.325601	data\market1501/bounding_box_test\0763_c6s2_068943_01.jpg
0191	9	7296	0493	0.324760	data\market1501/bounding_box_test\0493_c5s1_145220_03.jpg
0191	10	1367	0000	0.323639	data\market1501/bounding_box_test\0000_c3s2_122769_10.jpg
0192	1	8700	0678	0.380728	data\market1501/bounding_box_test\0678_c1s3_063526_02.jpg
0192	2	14862	1362	0.368973	data\market1501/bounding_box_test\1362_c5s3_053365_01.jpg
0192	3	8699	0678	0.365453	data\market1501/bounding_box_test\0678_c1s3_063451_02.jpg
0192	4	8713	0678	0.361701	data\market1501/bounding_box_test\0678_c6s2_042943_02.jpg
0192	5	5797	0286	0.361405	data\market1501/bounding_box_test\0286_c6s1_067526_02.jpg
0192	6	8706	0678	0.358569	data\market1501/bounding_box_test\0678_c4s3_063404_02.jpg
0192	7	15857	1498	0.358387	data\market1501/bounding_box_test\1498_c1s6_016371_01.jpg
0192	8	4694	0198	0.357562	data\market1501/bounding_box_test\0198_c6s1_039951_03.jpg
0192	9	4678	0198	0.357201	data\market1501/bounding_box_test\0198_c2s1_075021_01.jpg
0192	10	10858	0909	0.355132	data\market1501/bounding_box_test\0909_c6s2_111243_02.jpg
0200	1	3692	0094	0.349842	data\market1501/bounding_box_test\0094_c1s1_021376_01.jpg
0200	2	1960	0000	0.336724	data\market1501/bounding_box_test\0000_c5s1_000426_03.jpg
0200	3	4281	0156	0.336427	data\market1501/bounding_box_test\0156_c5s1_051776_03.jpg
0200	4	4705	0200	0.334906	data\market1501/bounding_box_test\0200_c1s1_039976_01.jpg
0200	5	1847	0000	0.334383	data\market1501/bounding_box_test\0000_c4s5_026529_05.jpg
0200	6	1575	0000	0.334254	data\market1501/bounding_box_test\0000_c4s1_057057_05.jpg
0200	7	7808	0561	0.333233	data\market1501/bounding_box_test\0561_c5s2_004030_03.jpg
0200	8	7745	0550	0.330074	data\market1501/bounding_box_test\0550_c5s2_012305_01.jpg
0200	9	5320	0253	0.329800	data\market1501/bounding_box_test\0253_c1s1_053026_04.jpg
0200	10	5282	0247	0.328555	data\market1501/bounding_box_test\0247_c5s1_063548_02.jpg
0213	1	15656	1472	0.347249	data\market1501/bounding_box_test\1472_c6s3_084117_02.jpg
0213	2	12423	1105	0.344851	data\market1501/bounding_box_test\1105_c5s3_033740_08.jpg
0213	3	13163	1184	0.344250	data\market1501/bounding_box_test\1184_c3s3_006912_02.jpg
0213	4	6089	0319	0.343144	data\market1501/bounding_box_test\0319_c1s1_072281_01.jpg
